Id,SalePrice
1461,122871.3281
1462,162100.7969
1463,179813.0156
1464,188662.2969
1465,205248.1719
1466,179602.1563
1467,174823.5469
1468,169526.7031
1469,189908.3438
1470,125712.9609
1471,201216.6563
1472,98259.67969
1473,96091.41406
1474,155641.7344
1475,127855.7266
1476,394225.9688
1477,264734.75
1478,287547.8125
1479,290596.8438
1480,498649.6563
1481,323884.0313
1482,218158.9844
1483,168134.6406
1484,168152.7813
1485,176542.125
1486,192624.375
1487,360798.25
1488,235835.1563
1489,200245.3125
1490,225981.0938
1491,195328.7031
1492,94044.21094
1493,182249.2344
1494,307910.75
1495,306399.25
1496,231074.3125
1497,184517.0156
1498,164209.1563
1499,167263.0781
1500,153778.4063
1501,165524.875
1502,159898.8281
1503,290703.9063
1504,240032.875
1505,214015.5156
1506,189389.9219
1507,245023.625
1508,186666.4688
1509,158576.1563
1510,145213.0938
1511,142500.9219
1512,177151.4219
1513,147896.6719
1514,184654.3906
1515,204652.7031
1516,164463.125
1517,168268.1875
1518,139069.1406
1519,223467.9375
1520,127043.6563
1521,132383.5781
1522,176820.9844
1523,111463.2578
1524,119573.9219
1525,123851.2656
1526,123316.625
1527,109758.0547
1528,134160.6406
1529,139095.0156
1530,181021.3438
1531,107009.1016
1532,104839.75
1533,134584.5156
1534,122402.3594
1535,149847.8125
1536,105389.1484
1537,77941.00781
1538,153582.7031
1539,204530.3594
1540,108236.0781
1541,144182.5625
1542,127586.1328
1543,205257.7813
1544,84262.75
1545,110740.5078
1546,127072.3984
1547,133106.8594
1548,130090.6953
1549,110166.0781
1550,135862.6875
1551,119399.2813
1552,145258.0313
1553,146640.2656
1554,111104.4766
1555,177012.5313
1556,87345.69531
1557,105603.1719
1558,101842.9609
1559,93733.625
1560,140490.5781
1561,135826.6563
1562,126737.2109
1563,118739.9922
1564,167511.8906
1565,154285.4531
1566,222069.1094
1567,77282.57813
1568,205074.8125
1569,132285.8125
1570,138454.6875
1571,127943.1875
1572,148160.6719
1573,258545.3281
1574,123048.8047
1575,240305.4219
1576,227270.625
1577,196759.1719
1578,146664.9219
1579,151525.4219
1580,195994.0313
